stationcode,name,capacity,longitude,latitude
15029,Emeriau - Place de Brazzaville,51.0,2.2871585190296173,48.85078526167496
5116,Place Valhubert,51.0,2.3640366643667,48.844182577315
10005,Petites Ecuries - Faubourg Poissonnière,17.0,2.348388757504776,48.87397217237368
26001,Gare d'Asnières sur Seine,24.0,2.2835066914558415,48.90636459217474
18020,Francoeur - Marcadet,20.0,2.340014585442034,48.89104123261663
20136,Henri Chevreau - Couronnes,27.0,2.388777695596218,48.87033205312931
15028,Grenelle - Dr Finlay,71.0,2.2919502854347233,48.851315406715976
8102,Lamennais - Washington,26.0,2.303444892168045,48.87352990026496
5002,Sommerard - Saint-Jacques,34.0,2.345015835298588,48.850310432924466
14018,Porte d'Orléans,48.0,2.3249313,48.8227639
31702,Pierre et Marie Curie - Julien Grimau,18.0,2.424097023904324,48.870714014863225
21013,Pierre Grenier - Pont de Billancourt,21.0,2.2487989068031315,48.8258020742942
7014,Saint-François-Xavier,42.0,2.3146149516106,48.85154484769
20040,Parc de Belleville - Julien Lacroix,26.0,2.3842214,48.8703459
17017,Gare de Pont-Cardinet,34.0,2.314494143994255,48.88713901475306
21105,Morice - Général Leclerc,25.0,2.3128929734230046,48.90245471981591
23002,Pont de Levallois-bécon,50.0,2.2791311,48.8984179
14139,Pierre Larousse - Raymond Losserand,30.0,2.3119183257222176,48.83059564231877
14130,Jonquoy - Didot,30.0,2.31648076325655,48.82890454823947
41207,Place du Général de Gaulle,28.0,2.4877332,48.8525288
12011,Charenton - Place du Col Bourgoin,35.0,2.3825789350545,48.844867319554
21308,Bara - Henri Farman,58.0,2.2677567601203923,48.833218027457846
12032,Porte Dorée,36.0,2.4077132,48.8354337
20109,Haxo - Surmelin,21.0,2.40539657537972,48.8694370761222
20021,Indre - Prairies,38.0,2.403290458023548,48.86254398506782
7005,Raspail - Bac,52.0,2.3256602883339,48.855628721101
31019,Vincennes - Douy-Delcupe,38.0,2.436049282550812,48.85493692155721
18032,Porte de Clignancourt.,56.0,2.343996,48.897488
17124,Porte de Saint-Ouen - Henri Huchard,26.0,2.3295360803604126,48.898708366365064
17027,Place du Maréchal Juin - Péreire,46.0,2.298286,48.885263
51003,Hôtel de Ville d'Argenteuil,30.0,2.2496396,48.946504
22101,Gare Routière de Saint Cloud,31.0,2.222245037555695,48.84288183896324
13016,Primo Levi - Frigos,34.0,2.37965351592796,48.83094844846017
44102,Verdun - Adrien Damalix,26.0,2.4215328320860863,48.8222334178559
9115,Milton - Manuel,22.0,2.341181,48.878249
17122,Bridaine - Lamandé,29.0,2.3206239,48.8862074
16123,Mahatma Gandhi,26.0,2.264205,48.876356
19040,Belleville - Télégraphe,41.0,2.3995549,48.8756045
17047,Courcelles - Pierre Demours,26.0,2.29858466343129,48.883769733273496
6016,Danton - Serpente,22.0,2.3414132371545,48.852297362582
41204,République - Danton,20.0,2.462034523487091,48.85249172181667
17046,Mac-Mahon - Brey,25.0,2.294512536052928,48.877532084130166
17121,Square des Epinettes,20.0,2.325953990221024,48.89383909781389
47006,Les Planètes,16.0,2.4580853059887886,48.8099849920804
19009,Cité des Sciences et de l'Industrie,30.0,2.384599149227142,48.89659571178903
18109,Pajol - Riquet,47.0,2.3628534749150276,48.88960028134536
19038,Lassus - Delouvain,20.0,2.3890327325519,48.8755044846
18029,Emile Blemont - Poteau,39.0,2.3415122,48.8943782
21703,Square du Carrefour de l'Insurrection,23.0,2.291113436222077,48.82086455977067
9031,Provence - Chaussée d'Antin,25.0,2.332976511564311,48.87428447542072
9117,Bellefond - Maubeuge,31.0,2.3452642187476,48.878255397645
31703,Sadi Carnot - François Mitterrand,27.0,2.4241617321968083,48.87532687671517
15031,Théâtre - Lourmel,53.0,2.2898658737540245,48.8482070397636
14112,Méchain - Faubourg Saint-Jacques,16.0,2.33798034198275,48.83586772099485
9026,Jean-Baptiste Pigalle - La Bruyere,17.0,2.333709173337285,48.87939826447722
21001,Transvaal - Charles de Gaulle,27.0,2.2373420120857195,48.848280403628806
18033,Belliard - Damrémont,34.0,2.338023450388167,48.89669238777841
23007,Président Wilson - Jean Jaures,27.0,2.2920683026313786,48.89034054052266
14135,Jourdan - Cité Universitaire,39.0,2.339700796412437,48.81989734315667
21309,Mairie d'Issy,41.0,2.27231115102768,48.8237677924683
8110,Gare Saint-Lazare - Stockholm,32.0,2.322417162358761,48.877127316667654
20024,Gambetta - Père Lachaise,29.0,2.398228667282044,48.864295696165875
19002,Centquatre,42.0,2.3707854375243187,48.88933353845543
9009,Square Montholon,21.0,2.3457641154527664,48.876620377545024
6104,Herschel - Observatoire,37.0,2.337664514780045,48.84342376221923
17019,Phalsbourg - Villiers,20.0,2.3090453445911407,48.88242307900951
19201,Petit - Georges Thill,23.0,2.3895753175020222,48.88603131999171
10009,Mairie du 10ème,19.0,2.3575825989246,48.872089449907
20006,Pyrénées - Plaine,12.0,2.4062821269035,48.85026702458
21026,Sèvres - Général Leclerc,30.0,2.231426239013672,48.83012155905476
32013,Saint-Denis - Université,24.0,2.3638297989964485,48.94563430946964
21953,Gare de Bellevue,20.0,2.2295309230685234,48.8192404685572
2015,Louis le Grand - Italiens,33.0,2.3340544619393,48.870508937204
31709,Place de la Fraternité,22.0,2.422847449779511,48.85716405838368
10006,Petites Ecuries - Faubourg Saint-Denis,28.0,2.3542150855064397,48.87287120589831
4103,Archives - Rivoli,25.0,2.3539767041802,48.857346707443
8028,Arsène Houssaye - Champs-Elysées,29.0,2.2977904602885,48.873409276267
2003,Saint-Denis - Réaumur,32.0,2.3507790675507594,48.8661116315789
22503,Joffre - Aigle,20.0,2.245096,48.904033
1102,Française - Etienne Marcel,37.0,2.347587011754513,48.864053304653766
21110,Parc Roger Salengro,35.0,2.31055945158,48.905303858642
3009,Temple - Haudriettes,19.0,2.3566960206458,48.861636880212
14132,Bézout - Général Leclerc,30.0,2.3285973072052,48.82884804502439
3012,Square Emile - Chautemps,25.0,2.3536357283592,48.867433724231
21507,Gardenat-Lapostol - Velettes,20.0,2.224185,48.87387
22306,Place du 17 Octobre,20.0,2.2978286134199792,48.91962690034779
14023,Adolphe Pinard - Victor Hugo,52.0,2.3077843710780144,48.8236825874564
22502,Kléber - National,20.0,2.2393910586833954,48.906333898712234
4015,Mairie du 4ème,44.0,2.3563823103905,48.855949910497
3003,Fille du Calvaire - Turenne,29.0,2.3649600148200993,48.86210505412563
22504,Château - République,20.0,2.253629,48.905928
19111,Cesaria Evora - Rosa Parks,40.0,2.3745173960924144,48.89717672825043
5122,Saint-Michel - Luxembourg,29.0,2.3394941166043,48.84501507626
14133,Froidevaux - Boulard,35.0,2.3294411972165,48.835147319625
42704,Mairie du Kremlin-Bicêtre,25.0,2.3570189997553825,48.81191981537702
21706,Jean Bleuzen - Square du 11 Novembre,49.0,2.2965213,48.8232579
10041,Gare du Nord - La Chapelle,18.0,2.3561057075858,48.884178287286
4009,Village Saint-Paul,28.0,2.3607301712036137,48.852639866624806
42211,Séminaire de Conflans - Liberté,26.0,2.404179,48.823194
2012,Choiseul - Quatre Septembre,44.0,2.3359975218772893,48.8699355331869
12163,Hippodrome Paris-Vincennes,42.0,2.446271181106568,48.82048387758518
3002,Saint-Gilles - Turenne,18.0,2.3647149920992,48.858158956779
2004,Square Pierre Lazareff,17.0,2.3483933508396,48.867141720746
19130,Place Paul Delouvrier,26.0,2.3851288855075836,48.89197621431365
35012,Candale - Mehul,25.0,2.414379715919495,48.8893935006175
2016,Aboukir - Alexandrie,21.0,2.3502043269474897,48.86868344444473
4018,Saint-Bon - Rivoli,19.0,2.3502172809763,48.857999643315
44001,Quai Jules Guesde - Saint-Simon,30.0,2.4089661620274,48.80391487219
32019,Place du 8 mai 1945.,30.0,2.3566243797541,48.938882272105
9039,Chaussée d'Antin - Haussmann,24.0,2.33359,48.87243
1025,Oratoire - Rivoli,18.0,2.3400047421455,48.861342760889
2008,Mairie du 2ème,28.0,2.3404625437747044,48.8672190355135
1026,Place du Lieutenant Henri Karcher,30.0,2.3400671035051346,48.863490871724466
18015,Custine - Ramey,41.0,2.3469526693225,48.888735896947
1116,Ventadour - Opéra,27.0,2.3343884482519,48.866810653323
12164,Stade Pershing,26.0,2.4583535268903,48.829107826857
32024,Port - Confluence,26.0,2.3436167797955,48.936093926526
15040,Saint-Amand - Labrouste,36.0,2.3087677359581,48.834097274832295
6026,Saint-Placide - Cherche Midi,66.0,2.325317971408367,48.8490535919234
22601,Marx Dormoy - Château Sainte-Barbe,22.0,2.297856844961643,48.79178234105533
1023,Saint-Honoré - Musée du Louvre,22.0,2.3348781846405,48.863443132848
17021,Jouffroy d'Abbans - Villiers,34.0,2.3056533560157,48.884215547037
27001,Square Victor Basch,20.0,2.2289156913757,48.914304862261
31020,Résistance - Parmentier,35.0,2.436705082654953,48.85965138131299
35005,Quai de l'Aisne - Général Leclerc,27.0,2.400571,48.895713
18112,Arthur Ranc - Hôpital Bichat,26.0,2.333521842956543,48.8978712500682
16139,Suresnes - Muette à Neuilly,30.0,2.266000919044,48.868570404348
6007,Bréa - Raspail,24.0,2.3297942217634,48.842738478258
22603,Place de la Division Leclerc,35.0,2.2731140430551027,48.79382498863651
12113,Cardinal Lavigerie,46.0,2.402636749399156,48.832934193699835
21119,Belfort - Victor Hugo,24.0,2.3172724,48.9018492
2102,Saint-Marc - Feydeau,37.0,2.3419791832566,48.870310661422
2020,Danielle Casanova - Opéra,20.0,2.3333894088864,48.867643242297
32020,Jules Guesdes - Carnot,16.0,2.3508992046117783,48.93828169931872
27006,Victor Hugo - Gare,22.0,2.2600970417261,48.923133952658
32022,Henri Barbusse - Marcel Cachin,37.0,2.3720374971659,48.93742089281
1015,Place André Malraux,19.0,2.3356226831675,48.863925158727
9019,Victor Massé - Jean-Baptiste Pigalle,18.0,2.3366955667734,48.8811043724
44004,Place de l'Eglise - Vitry-sur-Seine,28.0,2.395057752728462,48.791922819921815
13202,Place Farhat Hached,28.0,2.3819742271533,48.825806194537
6029,Vaugirard - Monsieur le Prince,26.0,2.3411329463124,48.848951441614
12202,Charenton - Wattignies,40.0,2.3916775206425,48.836919119234
12166,Parc Floral du Bel Air,25.0,2.438560165464878,48.839285711865735
16010,Belles Feuilles - Place de Mexico,23.0,2.2829206287861,48.865804746474
42019,Lampes,43.0,2.4017931148409843,48.81152481985875
12016,Saint-Mande - Picpus,35.0,2.4015686296482,48.845127728278
23301,Les Blagis,27.0,2.302526,48.785205
23104,Quai de Sèvres - Manufacture Nationale,28.0,2.22499,48.828688
21011,Silly - Louis Blériot,23.0,2.2340199351310734,48.83219045374266
15018,Dutot - Place Alleray,56.0,2.3071701095578,48.836826091766
26012,Jardin Modèle - Pierre Boudou,18.0,2.3057010525935,48.914866710946
20048,Bagnolet - Place Saint-Blaise,28.0,2.40334,48.85973
10166,Strasbourg - Saint-Denis,16.0,2.3542908579111,48.869601642433
18138,Station Paris Basketball - Ney - Charles Hermite,20.0,2.3645754531026,48.898748039775
13010,Place d'Italie - Vincent Auriol,40.0,2.3567550292319,48.831481874467
18001,Damrémont - Caulaincourt,18.0,2.3325880989432335,48.88714509078738
17016,Brochant - Square des Batignolles,31.0,2.316861143151153,48.88818698581028
18019,Square Raymond Souplex,52.0,2.335426103165901,48.89183721478911
5019,Poissy - Saint-Germain,25.0,2.3529685288668,48.84969649427
1016,Thérèse - Opéra,25.0,2.3344334212238,48.866483514509
9012,Rougemont - Poissonnière,30.0,2.345873080193996,48.871611569354755
13113,Vistule - Choisy,33.0,2.3615723848342896,48.82365543660611
11019,Charonne - Philippe-Auguste,32.0,2.39054639062,48.855603162026
15063,Convention - Saint-Charles,23.0,2.2831090539694,48.843156111116
21108,Mairie de Clichy,51.0,2.3059353232384,48.903653634661
6014,Pont de Lodi - Dauphine,23.0,2.339947307565249,48.855296898603285
47002,Les Juilliottes,21.0,2.4437362,48.8043072
11107,Faidherbe - Dahomey,44.0,2.383823134795429,48.851358329771806
20103,Le Vau - Maurice Bertaux,25.0,2.411030612453627,48.86803439043193
2014,Daunou - Louis le Grand,17.0,2.332515,48.869113
6031,Pierre Sarrazin - Saint-Michel,33.0,2.342130728066,48.850908146398
